Name;Lat;Lon;Url
CAN_BC_Whistler-Nesters.716870_TMYx.2004-2018.zip;50.13;-122.95;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler-Nesters.716870_TMYx.2004-2018.zip
DZA_AR_Adrar-Belkebir.AP.606200_TMYx.2004-2018.zip;27.84;-0.19;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Adrar-Belkebir.AP.606200_TMYx.2004-2018.zip
CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_CWEC2016.zip;56.24;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_CWEC2016.zip
DZA_AR_Bordj.Mokhtar.AP.606860_TMYx.2007-2021.zip;21.33;0.95;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Bordj.Mokhtar.AP.606860_TMYx.2007-2021.zip
CAN_BC_Puntzi.Mountain.AP.710500_TDY-CWEC2020v2.zip;52.11;-124.14;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Puntzi.Mountain.AP.710500_TDY-CWEC2020v2.zip
DZA_AR_Reggane.606450_TMYx.zip;26.72;0.28;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Reggane.606450_TMYx.zip
CAN_BC_Whistler-Nesters.716870_TMYx.2007-2021.zip;50.13;-122.95;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler-Nesters.716870_TMYx.2007-2021.zip
DZA_AR_Adrar-Belkebir.AP.606200_TMYx.2007-2021.zip;27.84;-0.19;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Adrar-Belkebir.AP.606200_TMYx.2007-2021.zip
CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_CWEC2020v2.zip;56.24;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_CWEC2020v2.zip
DZA_AR_Bordj.Mokhtar.AP.606860_TMYx.zip;21.33;0.95;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Bordj.Mokhtar.AP.606860_TMYx.zip
CAN_BC_Puntzi.Mountain.AP.710500_TMYx.2004-2018.zip;52.10;-124.13;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Puntzi.Mountain.AP.710500_TMYx.2004-2018.zip
DZA_AR_Reggane.AP.606460_TMYx.zip;26.70;0.28;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Reggane.AP.606460_TMYx.zip
CAN_BC_Whistler-Nesters.716870_TMYx.zip;50.13;-122.95;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler-Nesters.716870_TMYx.zip
